"","IL107","IL132","IL137","IL173","IL131","IL18","IL78","IL124","IL91","IL40","IL35","IL75","IL151","IL96","IL70","IL10","IL72","IL114","IL62","IL19","IL166","IL175","IL176","IL141","IL32","IL36","IL93","IL129","IL5","IL105","IL82","IL69","IL115","IL158","IL86","IL118","IL100","IL125","IL34"
"Acetate",1.679407431,0.131487958,0.037097373,0.110437357,0.106945911,0.065322393,0.052554491,0.010830706,0.043436998,0.069913839,0.107469201,0.055165655,0.150387741,0.111048396,0.063098243,0.05018518,0.102122238,0.07891717,0.238507077,0.081512277,0.081057681,0.095909796,0.086409696,0.053309667,0.54662769,0.847638382,0.062946261,0.145158196,0.156076099,0.22087884,0.179683913,0.051706739,0.297177624,0.10624927,0.07812919,0.1014999,0.106646787,0.097243237,0.176143752
"Alanine",0.434874016,0.09506569,0.00822577,0.210200797,0.10155947,0.004660352,0.025421937,8.37758040957278e-06,0.012427552,0.149284393,0.069833914,0.160527374,1.15206909812199e-05,0.057113691,1.32017048007601e-05,0.015032949,0.024118088,0.015537291,0.029549679,0.127997394,0.109662871,0.085629761,0.127488768,0.136706429,0.108277952,0.102174781,0.049281465,0.139274793,0.028049334,0.038000389,0.053105931,0.022536908,0.121596224,0.147734336,0.062731133,0.094373491,0.324205935,0.280483129,0.088998681
"alpha.Glucose_alpha.Maltose_5.24d",0.476282,0.0728469,0.00189539,0.0543308,0.18075,0.000451662,0.0246041,0.000641944,0.0131643,0.144531,0.0621206,1.41614,0.00628156,0.0954514,0.0269699,0.068559,0.0324807,0.0171753,0.0230998,0.0498221,0.0633922,0.0420711,0.0780163,0.00780776,0.0290511,0.311689,0.0084379,0.0151951,0.0626891,0.0809482,0.0546093,0.00324789,0.0304445,0.0907306,0.0588541,0.0395486,0.147605,0.0479002,0.0628408
"AnotherSugar_C1H_4.97d",0.0164402,0.452926,0.0295305,0.248475,0.843473,0.0956529,0.407249,0.00691173,0.0555459,0.394626,0.277333,0.881624,0.027155,1.33526,0.217362,0.145723,0.210735,0.0461325,1.43468,0.593477,0.311175,0.177463,0.106801,0.0815705,0.107188,0.0868131,0.306212,0.80918,0.193716,0.612483,0.484298,0.22692,0,3.36065,0.406615,0.28191,0.683677,0.142576,0.0498603
"Asparagine",5.71456825710729e-05,0.036403505,4.02123859659494e-05,0.061225118,0.026833441,0.001184303,0.003455608,4.02123859659494e-05,0.00771088,0.027921697,0.03154304,0.044775926,0.001807445,0.021154043,0.006946411,0.006361117,0.010514134,0.005081399,0.014579935,0.051816662,0.05412364,0.047773722,0.065080714,0.040012429,0.006719327,0.001418608,0.02012794,0.033925179,0.02278211,0.029095208,0.036900745,0.005970623,0.004615361,0.052445817,0.036754873,0.054750448,0.159525711,0.083743791,0.013216414
"Aspartate",0.049526364,0.057289278,0.005526035,0.205566413,0.065678335,0.001304886,0.010860686,4.27256600888212e-05,0.005652889,0.048161455,0.085092927,0.097968328,0.001230678,0.036941984,0.005835764,0.003443243,0.014007783,0.023881012,0.055959727,0.143189474,0.165992687,0.178251801,0.176896379,0.171108596,0.083709893,0.003974272,0.026506229,0.050448813,0.050329881,0.061977149,0.096971543,0.008238228,0.097586469,0.081077323,0.191839364,0.324913246,0.402244599,0.168170352,0.064682776
"beta.Glucose",0.762023496,0.132756689,0.009090138,0.113657967,0.251012994,0.004621277,0.03386119,5.02654824574367e-05,0.020710897,0.194581274,0.064958406,2.125204228,0.011165995,0.143855257,0.021534209,0.107257277,0.079047881,0.038421477,0.027415559,0.097382585,0.098215158,0.075391846,0.130184343,0.026293272,0.065998991,0.451969471,0.014513053,0.038973355,0.062877613,0.093787461,0.061885507,0.011590031,0.039639503,0.13942598,0.101826127,0.070697963,0.171275647,0.075879548,0.116996178
"beta.Glucose_3.25dd",0.762023,0.132757,0.00909014,0.113658,0.251013,0.00462128,0.0338612,0,0.0207109,0.194581,0.0649584,2.1252,0.011166,0.143855,0.0215342,0.107257,0.0790479,0.0384215,0.0274156,0.0973826,0.0982152,0.0753918,0.130184,0.0262933,0.065999,0.451969,0.0145131,0.0389734,0.0628776,0.0937875,0.0618855,0.01159,0.0396395,0.139426,0.101826,0.070698,0.171276,0.0758795,0.116996
"beta.Glucose_4.65d",0.623169,0.0984438,0,0.0733198,0.208854,0,0.0265331,-0.00237264,0.0207407,0.196217,0.120806,1.81567,0,0.122634,0.0268688,0.0906304,0.0621828,0.0443187,0.0792727,0.0893808,0.0985219,0.0664863,0.108586,0.0136241,0.0533075,0.401514,0.0251477,0.0469031,0.0903982,0.17263,0.120566,0.0220434,0.232721,0.118604,0.0813903,0.0925709,0.134205,0.0632509,0.107464
"beta.Maltose",0.198470358,0.076395654,0.003910614,0.09422867,0.163271413,0.005227034,0.047748601,5.02654824574367e-05,0.025951481,0.166202293,0.073764601,0.304132037,0.018009908,0.111303418,0.024263849,0.074080948,0.055246803,0.030553252,0.141064051,0.111031647,0.069885994,0.049628509,0.052444648,0.040584909,0.05657685,0.120175171,0.028597587,0.066227229,0.06395762,0.164766189,0.128175446,0.028302309,0.09993924,0.275488076,0.058334886,0.062757667,0.207007394,0.058447937,0.037342619
