"","IL28","IL56","IL155","IL117","IL15","IL138","IL152","IL116","IL104","IL79","IL44","IL38","IL23","IL185","IL7","IL167","IL139","IL65","IL59","IL186","IL45","IL52","IL11","IL156","IL123","IL89","IL190","IL98","IL24","IL94","IL144","IL66","IL67","IL76","IL3","IL16","IL53","IL154","IL168","IL177","IL149","IL6","IL71","IL8","IL172","IL165","IL120","IL106","IL20"
"Acetate",1.054169149,0.045009062,0.077964207,0.103454025,0.086149096,0.079717479,0.220776283,0.061014212,0.066189854,0.09043106,0.084012371,0.201940796,0.050616781,0.23322432,0.034538512,0.050693264,2.608600858,2.148626519,1.042299161,0.832633651,0.984247167,0.066226649,0.055056001,0.045120381,0.070074446,0.090609661,0.945484354,0.102889252,0.14988351,0.076837725,0.065892205,0.03742261,0.187919457,0.183766722,0.082463813,0.071407054,0.319440431,0.11231878,0.226071573,0.119840632,0.178982261,1.664364752,2.182404716,0.025449077,0.087972165,0.045551773,0.088694892,0.068917735,0.038640065
"Alanine",0.309134379,0.120226035,0.077609043,0.207725456,0.158263149,0.024408567,0.176824902,0.192016062,0.085393273,0.237431723,0.096982881,0.11692561,0.136055945,0.019167286,0.164049733,0.048975945,0.086064806,0.068350205,0.062698076,0.105839745,0.799612357,0.288321655,0.062248415,0.043367442,0.131302796,0.198934844,0.742522216,0.001190669,0.017189257,0.010070558,0.003342742,0.005438223,0.15378754,0.126953479,0.119162697,0.079042327,0.267167204,0.151472871,0.216175506,0.199949097,0.248961449,0.144134106,1.193544094,0.084117282,0.197522942,0.182772538,0.0599474,0.31210383,0.038296911
"alpha.Glucose_alpha.Maltose_5.24d",1.0231,2.10715,0.500838,0.361818,0.279025,0.0211678,0.267662,0.382673,0.445581,0.311046,0.105254,0.527202,0.183951,0.0548761,1.01746,0.469088,0.0547173,0.0289032,0.0879066,0.0998502,0.264931,2.78206,0.638812,0.691783,1.17624,1.56151,0.368156,0.00238524,0.112762,0.083298,0.0182685,0.0363961,0.428448,0.292965,0.326029,1.66715,1.28355,0.558259,0.762845,0.800932,0.392575,0.0202471,2.53771,1.47806,1.28118,1.22046,0.298856,1.00901,0.528096
"AnotherSugar_C1H_4.97d",0.125204,0.965626,0.521597,0.363914,0.0509682,0.0051143,0.0261941,0.117115,0.82073,0.729399,0.305686,0.244118,0.0438708,0.00574066,0.606819,1.9663,0.00135247,0.000436421,2.06726,0,0.0974016,1.01433,0.14926,0.0744651,0.166204,0.203342,0.074337,0.0075098,0.526411,0.162775,0.017064,0.188236,0.40413,0.326566,0.194573,0.870464,0.9319,0.841714,0.517522,0.380301,0.17538,0.0326235,0.532488,0.369598,1.39738,0.98231,0.177693,0.0191128,0.417737
"Asparagine",0.009677061,0.027947124,0.027864991,0.024275602,0.036644876,0.007802676,0.070157382,0.045681482,0.027204819,0.037734577,0.014629147,0.00899755,0.026951868,0.003919048,0.053736272,0.023059015,0.001657619,6.74769946107206e-05,0.013101458,0.014052739,0.001446873,0.066358285,0.031289452,0.017751273,0.042810579,0.04176185,0.161408895,0.00185926,0.011715642,0.009103552,0.003258117,0.004931102,0.067941978,0.055554827,0.049779635,0.019448006,0.079597243,0.044884822,0.062227311,0.04594841,0.092096099,0.004566403,0.013762232,0.0254265,0.063258656,0.061718852,0.019871418,0.077398096,0.015732988
"Aspartate",0.024358999,0.063124286,0.032946683,0.056677464,0.064551656,0.002153992,0.051329575,0.071483572,0.027595187,0.067282103,0.013734124,0.008494413,0.040206367,0.012735377,0.079363791,0.068490238,0.010859596,0.005688003,0.084312845,0.042440222,3.71619496218106e-05,0.107319019,0.041063961,0.030776303,0.064366129,0.211788576,0.301946206,0.001582489,0.014596514,0.008331642,0.001993439,0.00827021,0.18831965,0.156989781,0.131262453,0.113330397,0.104991258,0.050665045,0.072162957,0.049718402,0.091376359,9.20319611546288e-05,0.145280061,0.028613467,0.0594744,0.050074479,0.016586899,0.155860442,0.01004188
"beta.Glucose",1.798078153,2.288467086,0.789948547,0.456306765,0.378310094,0.043242923,0.444062569,0.61621948,0.695664288,0.528985093,0.16342638,0.781443461,0.256743907,0.076057251,0.785455849,0.5597779,0.079590709,0.035941991,0.192402076,0.142176039,0.476143677,4.176536429,1.016271,0.921064519,1.603837433,2.178725144,0.598665264,0.002697706,0.147987994,0.089332745,0.030781351,0.050728883,0.622057863,0.438379778,0.49644249,1.12859117,1.95395592,0.842987103,1.072385157,1.13526011,0.659147516,9.67648726671038e-05,4.36920226,1.258361328,1.962973999,1.912278421,0.481569564,1.695890037,0.287838897
"beta.Glucose_3.25dd",1.79808,2.28847,0.789949,0.456307,0.37831,0.0432429,0.444063,0.616219,0.695664,0.528985,0.163426,0.781443,0.256744,0.0760573,0.785456,0.559778,0.0795907,0.035942,0.192402,0.142176,0.476144,4.17654,1.01627,0.921065,1.60384,2.17873,0.598665,0.00269771,0.147988,0.0893327,0.0307814,0.0507289,0.622058,0.43838,0.496442,1.12859,1.95396,0.842987,1.07239,1.13526,0.659148,0,4.3692,1.25836,1.96297,1.91228,0.48157,1.69589,0.287839
"beta.Glucose_4.65d",1.37674,1.92512,0.649747,0.368127,0.303664,0.0331214,0.36201,0.506098,0.577767,0.422623,0.137555,0.656064,0.21336,0.07477,0.671657,0.483306,0.0848228,0.0404006,0.190494,0.191583,0.363801,3.45602,0.834835,0.782281,1.36439,1.77133,0.474632,-0.00492294,0.147217,0.0843592,0.0281467,0.0394371,0.541689,0.368373,0.413105,0.973116,1.64861,0.702232,0.914543,0.933996,0.552394,0.0126878,3.50217,1.06156,1.59735,1.5771,0.401863,1.40735,0.259756
"beta.Maltose",0.07899202,1.041204429,0.102058545,0.289981143,0.143732864,0.013485125,0.076127801,0.087228438,0.109204978,0.275493928,0.114532087,0.141085422,0.090608079,0.079336099,0.790734477,0.351760552,0.041273223,0.021081292,0.17303225,0.199686395,0.173666473,1.111082854,0.180929983,0.221856112,0.380579777,0.614005475,0.181503618,0.002799814,0.142031664,0.08293715,0.026429451,0.021473251,0.230438848,0.174565478,0.145109712,1.433195037,0.561430976,0.181724258,0.340929124,0.376321481,0.122259674,0.094864568,0.36234442,1.125675183,0.208777003,0.189070474,0.0778514,0.069111492,0.553277956
"beta.Maltose_3.29dd",0.078992,1.0412,0.102059,0.289981,0.143733,0.0134851,0.0761278,0.0872284,0.109205,0.275494,0.114532,0.141085,0.0906081,0.0793361,0.790734,0.351761,0.0412732,0.0210813,0.173032,0.199686,0.173666,1.11108,0.18093,0.221856,0.38058,0.614005,0.181504,0.00279981,0.142032,0.0829371,0.0264295,0.0214733,0.230439,0.174565,0.14511,1.4332,0.561431,0.181724,0.340929,0.376321,0.12226,0.0948646,0.362344,1.12568,0.208777,0.18907,0.0778514,0.0691115,0.553278
