"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.000212720669230769,-4.16e-20,0.0003846133,0.0351850749,0.0584816524,0.0365552678,0.0306350846,0.0571284663,0.0545660928
"15",0,1.00613961606655e-18,0.000218,,,,,,
"30",0,0,6.31439345255558e-19,0.0310686447,0.0609311184,0.0490099504,,,
"60",0,4.37e-05,0,0.0271205017,0.0609497697,0.039316322,0.0569231278,0.0781028405,0.0566696358
"120",0,0,3.65433333333346e-05,0.0229645292,0.0509192165,0.0598133636,0.0368158577,0.0364982221,0.0484135123
"135",9.81270025641059e-05,0.000199574933333336,0.000451387533333337,,,,,,
"150",0.001460937,9.47016333333366e-05,0.0015357875,0.0691509331,0.0723679374,0.1021357867,,,
"165",5.3570769230772e-05,7.86250000000038e-05,0.000169846700000004,,,,,,
"180",0.000141432900000001,2.76666666666765e-06,3.49629e-05,0.0764845973,0.0545071756,0.0617915022,,,
"240",,,,,,,0.0389271659,0.0750800902,0.0186371476
"300",,,,,,,0.0704071317,0.0956804879,0.0310210921
"360",,,,,,,0.1307857731,0.0737868756,0.1281971654
"480",,,,,,,0.1020110127,0.0425288453,0.0784494832
