"","Diet","Location_Timepoint","Molecule","1","10","11","12","2","3","4","5","6","7","8","9","baseline_cheakpeas puree"
"1",0,"Duodenal_0","Acetate",0.111700469,0.131379503,NA,NA,0.015608466,0.471862639,0.145884041,0.05872779,0.048201258,0.046658704,0.139398384,0.093743114,NA
"2",0,"Duodenal_0","Alanine",0.064442722,0.008146717,NA,NA,0.012293784,0.065768732,0.046366067,0.031707327,0.12174621,0.0580687,0.081957295,0.00310814,NA
"3",0,"Duodenal_0","alpha.Glucose_alpha.Maltose_5.24d",1.538875927,0.00681446,NA,NA,0.00455054,0.635407136,1.104237083,0.49853364,0.0343992,0.0153135,2.164513676,0.113636,NA
"4",0,"Duodenal_0","Asparagine",0.016491999,0.004720318,NA,NA,0.006168262,0.0151794,0.010297629,0.010621695,0.027462197,0.014716996,0.018214097,5.75251767050721e-05,NA
"5",0,"Duodenal_0","Aspartate",0.034423739,0.004462863,NA,NA,0.001087259,0.026972683,0.022585483,0.017339683,0.017020601,0.020860911,0.037214236,0.000598486,NA
"6",0,"Duodenal_0","beta.Glucose_3.25dd",0.333789924,0.0131631,NA,NA,0.00810594,0.17029095,0.240812704,0.179528005,0.0387996,0.0310155,0.429626034,0.101152,NA
"7",0,"Duodenal_0","beta.Maltose_3.29dd",1.794296871,0.016624,NA,NA,0.0142575,0.543904114,1.462977384,0.351295869,0.0442064,0.0342393,1.739303335,0.0636511,NA
"8",0,"Duodenal_0","Choline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0,"Duodenal_0","Ciceritol_new..gastric.mean.eretic.correction.",0.018915131,0,NA,NA,0.000615607,0.094094994,0.054456193,0.043918879,0,0.000605436,0.086274505,0,NA
"10",0,"Duodenal_0","Formate",0.048275446,0.127332403,NA,NA,0.005485995,0.017753961,0.10472841,0.023526389,0.00957543,0.006379337,0.113045003,0.368645233,NA
"11",0,"Duodenal_0","Fumarate",0.002224211,0.002025654,NA,NA,2.02997443925054e-05,0.002569263,0.002424367,0.001629293,0.002123496,0.001222947,0.003938384,1.7971530115164e-05,NA
"12",0,"Duodenal_0","GCA",0.100694186,0.547,NA,NA,0.0336,0.252651804,0.352442783,0.313924486,0.0561,0.288,0.127007694,0.00364,NA
"13",0,"Duodenal_0","GCDCA",0.030384757,0.229,NA,NA,0.0265,0.097988954,0.097141023,0.117825348,0.0496,0.11,0.054245148,0.00214,NA
"14",0,"Duodenal_0","GDCA",0.04971406,0.0759,NA,NA,0.0052,0.018072102,0.033265622,0.025031418,0.0304,0.084,0.054247588,0.00102,NA
"15",0,"Duodenal_0","Glutamine",0.050259747,0.009575126,NA,NA,0.00643897,0.027027374,0.012685884,0.011360587,0.063861371,0.031154468,0.048195364,0.005396516,NA
"16",0,"Duodenal_0","Histidine",0.03174184,0.008962379,NA,NA,0.005442863,0.025126886,0.022886575,0.018546686,0.060973821,0.03016866,0.038845268,0.001621978,NA
"17",0,"Duodenal_0","Isoleucine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",0,"Duodenal_0","Lactate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",0,"Duodenal_0","Leucine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0,"Duodenal_0","Lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",0,"Duodenal_0","Methionine",0.032551282,0.004424512,NA,NA,0.003081357,0.034706245,0.019904137,0.011003571,0.03633955,0.027121263,0.032405194,0.001951959,NA
"22",0,"Duodenal_0","n.Butyrate",0.012137954,0.095283448,NA,NA,0.003830617,0.057218622,0.010849193,0.042726362,0.020046833,1.74713102839081e-05,0.080951908,0.011398464,NA
"23",0,"Duodenal_0","Oral_Raffinose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0,"Duodenal_0","Oral_Stachyose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0,"Duodenal_0","Phenylalanine",0.116708813,0.035976469,NA,NA,0.012464809,0.083943416,0.079713816,0.04747012,0.116502994,0.092814793,0.141422256,0.001966995,NA
"26",0,"Duodenal_0","Propionate",0.02534387,0.06355435,NA,NA,0.002152176,0.103754096,0.008806579,0.008779866,0.004850321,0.005117652,0.03984703,0.014096818,NA
"27",0,"Duodenal_0","SR",0.038642285,0.001884432,NA,NA,0.00341454,0.063882061,0.044643718,0.0225749,0.003205532,0.000809729,0.044420526,0.000949191,NA
"28",0,"Duodenal_0","Sucrose..correct.peak._.gastric.mean.eretic.correction.",0.195853344,0.002878963,NA,NA,0.001390014,0.117064778,0.161059694,0.061635071,0,0.005566446,0.238298992,0.039359678,NA
"29",0,"Duodenal_0","Taurine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",0,"Duodenal_0","TCA",0.036194386,0.21,NA,NA,0.00825,0.047867252,0.16418448,0.081792803,0.0156,0.0496,0.039801011,0.000388,NA
"31",0,"Duodenal_0","TCDCA",0.015770147,0.122,NA,NA,0.0103,0.040387298,0.043900051,0.026750576,0.0143,0.0503,0.026962677,0.00118,NA
"32",0,"Duodenal_0","TDCA",0.023137139,0.0289,NA,NA,0.00104,0.010959916,0.030122187,0.011277689,0.00526,0.0309,0.010645312,0.00451,NA
"33",0,"Duodenal_0","Trigonelline",0.003760524,0.000391722,NA,NA,0.000658317,0.002322693,0.00396079,0.001610232,0.001932432,0.000954924,0.005911782,-0.000277172,NA
"34",0,"Duodenal_0","Tryptophan",0.02675318,0.007419572,NA,NA,0.008263578,0.027052969,0.021894021,0.012025912,0.028411033,0.031710699,0.024757541,0.001860703,NA
"35",0,"Duodenal_0","Tyrosine",0.06840963,0.018871077,NA,NA,0.012585418,0.056257794,0.04797535,0.02699723,0.10960034,0.09559751,0.10937396,0.003442211,NA
"36",0,"Duodenal_0","Valine",0.08206896,0.046906833,NA,NA,0.01670274,0.074720837,0.06632679,0.045746266,0.147813673,0.085736782,0.087015881,0.004769932,NA
"37",0,"Duodenal_120","Acetate",0.014553832,0.15161123,NA,NA,0.015304384,0.023218735,0.062533005,0.009420836,0.008896253,0.062009648,0.160355823,0.00902792,NA
"38",0,"Duodenal_120","Alanine",0.077096613,0.016173902,NA,NA,0.005745268,0.044869285,0.010207059,0.003246011,0.012451103,0.160032536,0.122756301,0.027871029,NA
"39",0,"Duodenal_120","alpha.Glucose_alpha.Maltose_5.24d",0.0125147,0.33096,NA,NA,0.145853,1.12333,0.213903,0.0292547,2.87608,1.6106,3.255770452,2.82828,NA
"40",0,"Duodenal_120","Asparagine",0.022187974,0.008794501,NA,NA,6.04605306683368e-05,0.015017299,0.00399747,3.71717876655374e-05,0.02810107,0.047961487,0.042526064,0.021058959,NA
"41",0,"Duodenal_120","Aspartate",0.00703267,0.005933138,NA,NA,0.002720746,0.026703265,0.006427667,0.002476655,0.051022035,0.065450262,0.058107351,0.051843848,NA
"42",0,"Duodenal_120","beta.Glucose_3.25dd",0.0334168,0.105245,NA,NA,0.0266325,0.572617,0.0611724,0.0109874,0.883274,0.97817,0.923714643,0.59788,NA
"43",0,"Duodenal_120","beta.Maltose_3.29dd",0.0201579,0.399204,NA,NA,0.189286,1.12763,0.23348,0.0222691,3.35558,1.28695,2.967495821,3.66709,NA
"44",0,"Duodenal_120","Choline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",0,"Duodenal_120","Ciceritol_new..gastric.mean.eretic.correction.",0.000937513,0.032657804,NA,NA,0.011917499,0.164964718,0.03417672,0.003614104,0.299802024,0.496295925,0.593420406,0.313766474,NA
"46",0,"Duodenal_120","Formate",0.005290697,0.15076106,NA,NA,0.007604108,0.005299196,0.143968701,0.003939349,0.001637101,0.018514133,0.129245057,0.156234058,NA
"47",0,"Duodenal_120","Fumarate",0.000468608,0.00036965,NA,NA,0.000845108,0.001259994,0.002107034,0.002087651,0.003255268,0.004770556,0.005716679,0.00340136,NA
"48",0,"Duodenal_120","GCA",0.00936,0.045,NA,NA,0.00871,0.236,0.123,0.0212,0.0938,0.291,0.163525886,0.0813,NA
"49",0,"Duodenal_120","GCDCA",0.00229,0.0232,NA,NA,0.0158,0.162,0.0445,0.0103,0.0283,0.122,0.076488165,0.00775,NA
"50",0,"Duodenal_120","GDCA",0,0.00833,NA,NA,0.00406,0.0175,0.0142,0.000518,0.0185,0.0534,0.032326383,0.0181,NA
"51",0,"Duodenal_120","Glutamine",0.033016647,0.011679223,NA,NA,0.007031636,0.026484881,0.006601399,0.003233363,4.52346986813901e-05,0.07796364,0.072432373,3.22818018529783e-05,NA
"52",0,"Duodenal_120","Histidine",0.03041664,2.03990514265301e-05,NA,NA,0.000512034,0.02921334,0.006896572,0.000250688,0.025431949,0.063547385,0.049880717,0.02243375,NA
"53",0,"Duodenal_120","Isoleucine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",0,"Duodenal_120","Lactate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",0,"Duodenal_120","Leucine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",0,"Duodenal_120","Lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",0,"Duodenal_120","Methionine",0.017944453,0.004138552,NA,NA,0.001470794,0.018009953,0.003087333,0.000507276,0.008039492,0.045300751,0.036758644,0.015599618,NA
"58",0,"Duodenal_120","n.Butyrate",0.004671011,0.149088362,NA,NA,0.010422202,0.003723882,0.004933716,0.002294881,1.84326366824886e-05,0.075729322,0.106128641,1.73533631630577e-05,NA
"59",0,"Duodenal_120","Oral_Raffinose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",0,"Duodenal_120","Oral_Stachyose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",0,"Duodenal_120","Phenylalanine",0.053607555,0.01942632,NA,NA,0.018392144,0.10701307,0.024325645,0.0054953,0.03341594,0.219771417,0.202597428,0.049223535,NA
"62",0,"Duodenal_120","Propionate",0.002722663,0.06716707,NA,NA,0.001942731,0.002959654,0.005487713,0.00146537,0.000408871,0.002230911,0.050890228,0.000530571,NA
"63",0,"Duodenal_120","SR",0.001785591,0.029186313,NA,NA,0.012630634,0.092972143,0.025036461,0.006907941,0.000176865,0.295660688,0.187338615,0.207148614,NA
"64",0,"Duodenal_120","Sucrose..correct.peak._.gastric.mean.eretic.correction.",0.000973673,0.067878786,NA,NA,0.029103746,0.228070538,0.050841718,0.0039516,0.068607141,0.383397319,0.621384823,0.6079375,NA
"65",0,"Duodenal_120","Taurine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",0,"Duodenal_120","TCA",0,0.0179,NA,NA,0.00229,0.0888,0.0485,0.00628,0.0685,0.0726,0.055913951,0.0214,NA
"67",0,"Duodenal_120","TCDCA",0.00378,0.0119,NA,NA,0.00465,0.0793,0.0198,0.00442,0,0.064,0.041795292,0,NA
"68",0,"Duodenal_120","TDCA",0.00768,0.0035,NA,NA,0.00125,0.0051,0.00264,0,0,0.0399,0.018331163,0.0142,NA
"69",0,"Duodenal_120","Trigonelline",0.001402483,0.003432084,NA,NA,0.001562013,0.009399784,0.00128209,0.000183482,0.022597841,0.02218007,0.02300585,0.018381443,NA
"70",0,"Duodenal_120","Tryptophan",0.012387418,0.008222573,NA,NA,0.000691192,0.017146352,0.008180576,0.003164116,0.015724044,0.041131251,0.033127012,0.016718139,NA
