L7	IL7	IL41	IL46	IL59	IL65	IL68	IL77	IL139	IL148	IL157	IL159	IL167	IL170	IL174	IL181	IL184	IL185	IL186	IL10	IL24	IL42	IL48	IL54	IL62	IL70	IL72	IL81	IL84	IL85	IL92	IL94	IL96	IL98	IL111	IL112	IL114	IL143	IL144	IL146	IL151	IL162	IL187	IL188	IL5	IL6	IL30	IL36	IL39	IL51	IL53	IL69	IL82	IL93	IL103	IL105	IL122	IL126	IL128	IL129	IL134	IL149	IL154	IL164	IL168	IL177	IL178	IL179	IL180	IL189	IL15	IL21	IL28	IL33	IL50	IL56	IL74	IL88	IL107	IL117	IL131	IL132	IL135	IL137	IL138	IL150	IL152	IL155	IL161	IL173	IL3	IL16	IL19	IL26	IL31	IL32	IL55	IL60	IL64	IL66	IL67	IL76	IL83	IL87	IL95	IL99	IL110	IL119	IL136	IL141	IL166	IL175	IL176	IL182	IL8	IL13	IL20	IL27	IL34	IL47	IL57	IL58	IL61	IL71	IL86	IL100	IL106	IL108	IL109	IL113	IL115	IL118	IL120	IL125	IL130	IL133	IL142	IL158	IL165	IL172	IL11	IL12	IL22	IL29	IL45	IL52	IL80	IL89	IL101	IL123	IL147	IL153	IL156	IL160	IL163	IL171	IL183	IL190	IL2	IL9	IL14	IL17	IL18	IL23	IL35	IL37	IL38	IL40	IL43	IL44	IL63	IL75	IL78	IL79	IL90	IL91	IL102	IL104	IL116	IL124	IL127	IL140	IL4	IL49	IL73	IL97	IL121	IL145	IL169
-1	135.833	217.061	5.20702	13.0789	80.1402	34.1102	57.8171	171.569	46.479	17.7838	139.858	129.74	129.416	47.8965	55.0508	101.457	147.922	16.9683	14.7065	16.5706	13.1989	116.954	67.9332	89.6618	38.121	91.5303	127.935	116.51	150.41	32.269	23.8668	63.7458	191.974	140.269	26.2293	112.203	25.7994	137.004	129.987	57.651	15.178	10.9965	138.211	41.8784	588.186	107.479	2.78951	38.8408	38.7478	341.92	115.58	73.8514	31.9656	155.87	65.7273	25.1025	124.61	17.2062	5.02056	260.492	107.756	87.0663	127.136	120.461	73.3563	97.0097	58.2296	88.2561	79.8106	150.33	137.154	202.113	75.4435	12.2044	164.023	4.54557	153.596	174.707	6.8608	151.32	148.088	7.81529	91.5675	277.411	201.578	116.823	84.8124	4.02075	116.542	40.1978	139.637	71.768	209.636	48.6855	26.2933	25.4252	97.5619	58.314	75.8601	11.6263	24.5783	36.5899	43.7443	84.554	58.2431	5.28248	31.5102	39.119	101.726	11.8734	5.43591	47.218	113.359	62.6311	78.3015	49.0328	15.5921	140.159	90.3264	67.9268	82.9421	138.951	112.058	53.4071	61.6745	46.9159	59.7562	58.1066	61.2951	46.5231	94.3275	65.177	30.7403	55.6497	7.63426	65.5043	58.235	16.5082	12.4167	142.547	179.064	17.0465	87.4804	129.224	74.8368	155.601	100.255	164.125	79.923	128.139	72.4433	121.966	181.072	104.489	165.39	191.451	44.1432	34.6628	61.0338	52.2928	120.334	131.868	257.471	1.79819	60.4415	17.0789	106.894	99.0623	115.605	26.2591	37.7733	81.8508	76.715	18.5216	99.0345	108.318	9.86903	40.2721	59.7294	347.03	7.41776	0	0	0	0	0	5.05833	0
Bacillus subtilis	170.26	170.26	0	0	0	7.49711	7.55481	7.72356	7.878	0	56.0517	7.65879	0	0	0	7.39305	0	8.21308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ligilactobacillus salivarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337.368	7.51636	6.87474	8.62788	3666.17	7.34518	0	26.5078	6.931	7.26505	8.0334	7.55673	7.44072	1482.7	231.359	7.31639	7.44162	62.5666	8.46832	7.07696	7.55768	7.14371	8.33235	7.22598	0	0	0	0	0	0	0
Centipeda sp015265235	3.55889	3.55889	0	0	3.58652	0	0	4.47455	0	0	3.94405	2.66833	8.88444	0	2.572	0	0	6.21857	0	0	0	0	0	0	0	0	2.49722	6.47581	2.72733	0	2.11455	0	0	0	0	0	0	2.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0525	0	0	0	0	0	4.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.60333	6.6626	5.743	7.06351	0	31.3833	7.51647	16.9186	6.37103	0	6.756	13.55	5.75978	6.6945	0	10.802	0	46.9957	7.33328	6.47351	0	0	8.23213	7.72506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sutterella wadsworthensis_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.34293	0	2020.79	214.333	0	8.14116	8.01902	150.829	0	336.815	2463.68	0	1967.37	8.41304	0	0	0	0	7.188	7.40792	7.6576	0	0	0	12.8858	7.56844	6.93571	0	8.27065	7.27061	8.08516	7.82371	157.84	0	0	0	0	7.881	7.62802	9.03414	7.71897	0	7.22181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnoanaerobaculum sp000287675	26.0658	31.4281	0	10.8245	75.8738	25.0825	15.2544	155.253	13.9891	8.1555	44.486	90.1462	43.2227	14.5395	23.7003	52.5711	65.3405	13.3473	7.40899	10.7301	0	29.2713	97.5921	57.102	13.0501	115.614	81.0046	92.7129	80.918	12.5462	12.9564	35.8938	0	187.173	10.7089	189.374	8.11855	218.275	144.044	16.8182	7.65386	7.677	9.15908	23.3231	2.35267	11.5517	0	5.37698	6.43421	4.7713	53.7019	91.784	15.1197	12.5374	14.5529	43.0571	192.225	0	0	4.11781	78.1572	56.2348	82.0351	24.7381	197.224	43.0776	34.1849	22.1297	90.9573	18.6725	77.4662	15.2056	6.58333	0	10.0257	0	33.3899	0	0	0	9.0355	0	9.18857	6.66484	8.83571	7.68943	8.73333	0	28.3588	46.1671	224.915	112.223	9.38785	46.4704	13.5097	34.4308	174.777	37.9232	97.4606	10.897	45.9939	58.2017	74.9432	66.3945	72.8236	0	67.1001	47.5247	196.741	10.0773	6.05625	67.2469	163.029	29.455	103.35	7.69172	20.6115	5.58346	103.276	45.7669	137.185	40.613	5.18429	54.9088	80.123	55.6947	115.049	76.3829	70.1667	4.734	97.5035	75.7822	18.2664	41.346	3.32385	75.5405	36.544	10.1409	8.41784	18.1309	13.3216	0	47.9967	31.7322	8.91429	79.5076	35.5719	107.407	17.9991	85.696	19.9731	22.4294	22.6632	32.4982	85.2521	44.1758	12.5817	9.45143	87.0539	87.7516	283.199	8.39526	7.2676	0	62.3977	12.2372	147.863	20.5235	345.179	20.2115	17.6279	295.51	229.173	18.604	238.675	61.7872	7.48525	17.7437	71.2948	6.76489	7.22789	0	0	0	0	0	0	0
Clostridium saudiense	5.97682	8.39472	0	6.22	7.30256	31.4702	0	0	0	4.76455	5.42191	4.99812	0	0	0	0	8.00038	5.37727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2158	0	0	0	14.5858	0	0	0	0	0	0	0	29.598	0	0	0	0	0	0	24.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75365	1536.58	19.03	0	47.4749	0	0	276.24	0	11.41	49.4432	10.7337	0	7.59652	8.3245	267.008	8.62103	9.11855	7.75356	0	0	0	0	0	0	0	0	0
Pseudomonas_E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.20409	0	0	0	0	3.78667	0	0	2.31778	0	5.31602	2.39038	1.95556	0	2.94563	0	2.91591	42.5418	1.7625	0	0	0	2.12647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.65357	0	0	0	0	0	0	0	0	0
Prevotella aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7669	0	0	0	0	2.80143	0	0	0	0	2.16429	0	2.79571	0	1.77273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus_A raffinolactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20667	0	0	0	6.92889	2.42364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.45467	0	0	0	0	5.217	0	0	0	0	7.18143	7.43977	5.81742	4.99737	22.6104	0	6.30472	6.49925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.58	0	0	0	0	0	0	0	0	0
